0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,24211,33350,14928,31957,32166,19009,28392,15308,21404,28731,35339,35605,10523,26727,26303
25244,0,8314,10784,6922,7131,10678,3270,10762,7873,11350,10303,10570,19122,11801,13609
34062,8491,0,14086,4086,1651,11008,4239,13856,9627,7179,1864,925,27939,9730,9997
15494,11580,14024,0,11065,12745,4049,10970,635,5226,10788,16255,16521,6012,9180,9507
33351,5882,4096,11348,0,2671,7364,4363,11118,6736,3619,5682,5948,20768,6649,7076
32878,7307,1651,12902,2902,0,9824,3850,12673,8444,6298,2315,2269,26756,9086,9462
19363,10678,11017,4040,7398,9834,0,9159,3810,2809,7099,10921,13608,9188,5491,5812
29097,3270,4257,11458,4350,3848,9159,0,11228,6354,9303,5359,5151,22975,10620,11076
15873,11351,13795,635,10836,12516,3820,10741,0,4997,10559,16026,16292,5496,8950,9278
21831,7873,9492,5226,6282,8213,2809,6354,4997,0,6967,11723,11989,10374,5119,6383
28822,11931,6831,10681,3305,5965,7167,10627,10451,7159,0,5693,6341,18297,3267,4068
35172,9601,1824,15261,4703,2349,11023,5263,15032,10803,5964,0,1392,29095,8515,8782
36058,10487,927,16148,5590,2257,11420,5134,15918,11689,7277,1512,0,29982,9828,10095
11333,19200,28339,6012,20917,27155,9197,23381,5496,10374,18568,30032,30298,0,16564,16140
26947,11940,9719,9927,6649,8853,6055,10421,9697,6417,3653,8581,9228,16422,0,1264
29258,14469,10406,10534,7017,9676,6484,11082,10304,6422,3933,9268,9915,18734,1288,0
