0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,24427,17151,24872,23349,23142,24277,19714,26718,15881,17500,23870,22978,26602
22360,0,7089,1761,15665,7152,21713,6351,8009,7622,7438,10619,9432,18288
16487,8522,0,7298,18148,7231,14107,3803,15307,2943,350,7633,6740,12977
21519,2240,6472,0,17495,5734,21957,4933,9840,7023,6822,9201,8014,16870
23480,14209,18339,14622,0,19096,29403,18296,10448,16337,18688,22563,21377,27498
23016,4774,7520,4645,18349,0,21627,7306,11304,11068,7870,11573,10387,19242
23980,23163,15191,21939,29044,20568,0,17140,29948,16970,15541,13799,15348,12650
18729,6119,3209,4895,20559,4440,18545,0,12904,5185,3559,5788,4602,13457
24598,8771,14473,9260,9140,13735,27811,12934,0,13607,14823,17201,16015,24871
14086,8000,2716,7005,15932,8707,15586,5278,13163,0,3065,9450,8558,12987
16996,8435,510,7211,18658,7144,14616,3716,15220,3453,0,8142,7250,13487
22922,9891,7403,8668,24331,9254,15263,6172,16676,9378,7752,0,2076,8892
22732,9780,6558,8556,24220,9143,15615,6061,16565,9191,6908,2156,0,8712
26301,16917,13934,15693,27965,16279,11409,13536,23702,14092,14284,8554,8977,0
